"nombre","tipo","categoria","cantidad","minimo","ubicacion","fecha_vencimiento"
"ANALIZADOR DE HUMEDAD ARIZONA COMPUTRAC 4000XL","equipo","Equipos de Laboratorio","1","1","",""
"ANALIZADOR DE HUMEDAD EN L�QUIDOS","equipo","Equipos de Laboratorio","1","1","",""
"ANALIZADOR DE OXIGENO DISUELTO","equipo","Equipos de Laboratorio","1","1","",""
"Analizador de humedad precisa","equipo","Equipos de Laboratorio","1","1","",""
"Analizador de oxigeno disuelto Orion 860","equipo","Equipos de Laboratorio","1","1","",""
"BA�O ULTRASONICO","equipo","Equipos de Laboratorio","1","1","",""
"Balanza analitica","equipo","Equipos de Laboratorio","1","1","",""
"Balanza analitica KERN ABT 320-4M","equipo","Equipos de Laboratorio","1","1","",""
"Balanza anal�tica Radwag as310.x2","equipo","Equipos de Laboratorio","1","1","",""
"Balanza de precision OHAUS Pioneer","equipo","Equipos de Laboratorio","1","1","",""
"Balanza de presici�n","equipo","Equipos de Laboratorio","1","1","",""
"CAMARA ELECTROFORESIS","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extraccion lab 507 (6)","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extracci�n lab 505 (2)","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extracci�n lab 507 (5)","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extracci�n 3","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extracci�n 4","equipo","Equipos de Laboratorio","1","1","",""
"Cabina de extracci�n lab 505 (1)","equipo","Equipos de Laboratorio","1","1","",""
"Centrifuga","equipo","Equipos de Laboratorio","1","1","",""
"Chiller","equipo","Equipos de Laboratorio","1","1","",""
"Compresor de aire","equipo","Equipos de Laboratorio","1","1","",""
"Conductivimetro Thermo Orion","equipo","Equipos de Laboratorio","1","1","",""
"Equipo para determinaci�n de nitrogeno marca Foss 8000","equipo","Equipos de Laboratorio","1","1","",""
"Espectrofot�metro UV-VIS","equipo","Equipos de Laboratorio","1","1","",""
"Horno de calentamiento","equipo","Equipos de Laboratorio","1","1","",""
"Horno de secado binder fd53ul","equipo","Equipos de Laboratorio","1","1","",""
"KARL FISCHER METLER","equipo","Equipos de Laboratorio","1","1","",""
"MUFLA E&O 189","equipo","Equipos de Laboratorio","1","1","",""
"MULTIPARAMETRO SCHOTT PROLAB 2000","equipo","Equipos de Laboratorio","1","1","",""
"Multiparametro hanna","equipo","Equipos de Laboratorio","1","1","",""
"NEVERA SAMSUNG RT4CWLS1/SCL","equipo","Equipos de Laboratorio","1","1","",""
"POLARIMETRO KRUSS","equipo","Equipos de Laboratorio","1","1","",""
"Potenciometro 2","equipo","Equipos de Laboratorio","1","1","",""
"Refractometro Kruss AR 2008","equipo","Equipos de Laboratorio","1","1","",""
"Rotaevaporador","equipo","Equipos de Laboratorio","1","1","",""
"Simplicity sistema de purificacion de agua millipore","equipo","Equipos de Laboratorio","1","1","",""
"Soxtec 8000","equipo","Equipos de Laboratorio","1","1","",""
"Test de jarras","equipo","Equipos de Laboratorio","1","1","",""
"Turbid�metro Hanna HI 88713 (1)","equipo","Equipos de Laboratorio","1","1","",""
"Turbid�metro Hanna HI 88713 (2)","equipo","Equipos de Laboratorio","1","1","",""
