archivo,carpeta,nombre_equipo
BALANZA ANALITICA RADWAG AS310.X2.xlsx,H.V 501,Balanza analítica Radwag as310.x2
BALANZA DE PRECISION OHAUS Pioneer 501.xlsx,H.V 501,Balanza de precision OHAUS Pioneer
CENTRIFUGA HERMLE Z230.xlsx,H.V 501,Centrifuga
Cabina extracción de gases 3.xlsx,H.V 501,Cabina de extracción 3
Cabina extracción de gases 4.xlsx,H.V 501,Cabina de extracción 4
Chiller Eyela CCA-1111.xlsx,H.V 501,Chiller
Desionizador PEARL MNP20H.xlsx,H.V 501,IMAGEN DEL EQUIPO
HORNO DE SECADO BINDER FD53UL.xlsx,H.V 501,Horno de calentamiento
Hoja de vida centrifuga ROTFIZ 501.xlsx,H.V 501,IMAGEN DEL EQUIPO
Nevera Samsung RT4CWLS1SCL.xlsx,H.V 501,NEVERA SAMSUNG RT4CWLS1/SCL
Soxtec FOSS 8000.xlsx,H.V 501,Soxtec 8000
Test de jarras Phipps & Bird.xlsx,H.V 501,Test de jarras
03 PLANCHA CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
04 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
06 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
08 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
10 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
12 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
14 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
15 PLANCHA DE CALENTAMIENTO.xlsx,H.V 502,IMAGEN DEL EQUIPO
BALANZA DE PRECISION OHAUS Pioneer 505.xlsx,H.V 505,Balanza de precision OHAUS Pioneer
Balanza analitica  505.xlsx,H.V 505,Balanza analitica KERN ABT 320-4M
CABINA DE EXTRACCIÒN 1 505.xlsx,H.V 505,Cabina de extracción lab 505 (1)
Cabina de extracciòn(2) 505.xlsx,H.V 505,Cabina de extracciòn lab 505 (2)
Centrifuga ROTFIZ 505.xlsx,H.V 505,IMAGEN DEL EQUIPO
Horno secado Binder toc 505.xlsx,H.V 505,Horno de secado binder fd53ul
NEVERA SAMSUNG 505.xlsx,H.V 505,NEVERA SAMSUNG RT4CWLS1/SCL
AAS 7000.xlsx,H.V 506,IMAGEN DEL EQUIPO
