nombre,tipo,categoria,cantidad,minimo,ubicacion,fecha_vencimiento
ACETONITRILO HPLC,reactivo,Acetonitrilo,1512,1,,
AGAR AGAR,reactivo,Agares,993,1,,
DICLOROMETANO,reactivo,Alcanos,35493,1,,
ETANOL 96%,reactivo,Alcoholes,364462,1,,
FURALDEHIDO/FURFURAL,reactivo,Aldehídos,1044,1,,
TIOACETAMIDA,reactivo,Amidas,953,1,,
TRI(HIDROXIMETIL) AMINOMETANO,reactivo,Aminas,170,1,,
ALBUMINA,reactivo,Aminoacidos,297,1,,
ANHIDRIDO FTALICO,reactivo,Anhidridos,988,1,,
BENCENO,reactivo,Aromaticos,1036,1,,
AZIDA DE SODIO,reactivo,Azida de sodio,65,1,,
GLUCOSA ANHIDRA,reactivo,Azucares,5552,1,,
BISMUTATO DE SODIO,reactivo,Bismutatos,154,1,,
BROMURO DE POTASIO PARA ESPECTROFOTOMETRÍA,reactivo,Bromuros,100,1,,
TDA X2 AMPOLLAS DE 5 ML,reactivo,Buffers,10,1,,
GELATINA,reactivo,Caldos nutritivos,100,1,,
"1,5-DIFENILCARBAZONA",reactivo,Carbazona,5,1,,
CARBONATO DE CALCIO,reactivo,Carbonatos,8789,1,,
ACETONA,reactivo,Cetonas,17238,1,,
FERRICIANURO DE POTASIO,reactivo,Cianuros,1052,1,,
CLORHIDRATO DE NEOCUPROINA MONOHIDRATO,reactivo,Clorhidratos,500,1,,
CLORURO DE SODIO REACTIVO ANALITICO,reactivo,Cloruros,6587,1,,
COLESTEROL,reactivo,Colesterol,18,1,,
DIMETILSULFOXIDO,reactivo,Dimetilsulfoxido,1009,1,,
UREASA,reactivo,Enzimas,25,1,,
ESTANDAR DE CONDUCTIVIDADE DE 1413Us/cm PARA EQUIPO PORTABLE THERMO FRASCO POR 60mL (CAJA POR 5 UNIDADES),reactivo,Estandares de conductividad,300,1,,
ACETATO DE ETILO,reactivo,Esteres,21482,1,,
ETER ETILICO,reactivo,Eteres,18090,1,,
FOSFATO DIACIDO DE POTASIO,reactivo,Fosfatos,18464,1,,
BIFTALATO DE POTASIO,reactivo,Ftalatos,3496,1,,
HIDROXIDO DE SODIO PELLETS,reactivo,Hidroxidos,18090,1,,
MUREXIDA,reactivo,Indicadores,331,1,,
LIGNINA,reactivo,Lignina,1500,1,,
MAGNESIO METÁLICO EN CINTA,reactivo,Metales,41,1,,
MOLIBDATO DE AMONIO TETRAHIDRATO,reactivo,Molibdatos,1498,1,,
NITRATO DE POTASIO,reactivo,Nitratos,2971,1,,
NITRITO DE SODIO,reactivo,Nitritos,207,1,,
CARBÓN ACTIVADO GRANULADO,reactivo,No metales,2382,1,,
OXALATO DE POTASIO,reactivo,Oxalatos,693,1,,
YODATO DE POTASIO,reactivo,Oxidantes,2582,1,,
ÓXIDO FÉRRICO,reactivo,Oxidos,155,1,,
DIMETILGLIOXIMA,reactivo,Oximas,386,1,,
PAPEL INDICADOR DE pH EN ROLLO POR 5M (CAJA X 10 ROLLOS),reactivo,Papel indicador,2,1,,
PEPTONA BACTERIOLOGIA,reactivo,Peptona millipore,290000,1,,
LUGOL DE GRAM,reactivo,Reactivos,16641,1,,
RESINA CATIONICA,reactivo,Resinas,15000,1,,
EDTA SAL DISODICA,reactivo,Sales de ácidos orgánicos,4963,1,,
Silica gel para cromatografía en columna 0.2-0.5 mm,reactivo,Silicas,500,1,,
TIERRA SILICIA PURIFICADA Y CALCINADA,reactivo,Silicatos,2000,1,,
SULFATO DE MAGNESIO HEPTAHIDRATADO,reactivo,Sulfatos,8109,1,,
SULFITO DE SODIO 7H2O,reactivo,Sulfitos,2232,1,,
SULFURO DE HIERRO II,reactivo,Sulfuros,1000,1,,
TARTRATO DE SODIO Y POTASIO 4H2O,reactivo,Tartratos,6675,1,,
TETRABORATO DE SODIO,reactivo,Tetraboratos,690,1,,
TIOCIANATO DE SODIO,reactivo,Tiocianatos,483,1,,
TIOSULFATO DE SODIO 5H2O,reactivo,Tiosulfatos,1009,1,,
MONOVANADATO DE AMONIO(METAVANADATO DE AMONIO),reactivo,Vanadatos,838,1,,
YODURO DE POTASIO GRANULAR,reactivo,Yoduros y fluoruros,2278,1,,
"Ácido cromotrópico, sal disódica dihidrato gradro RA",reactivo,Ácidos,49,1,,
